#{"t_start": 1758364263.4824493, "env_id": "gymnasium_env/TowerDefenseWorld-v0"}
r,l,t
-179.0,676,3582.121011
-220.0,700,3584.364511
-172.0,687,3586.556319
-176.0,741,3590.169123
-179.0,676,3592.55451
-195.0,844,3596.71874
-218.0,676,3598.858956
-181.0,676,3600.994822
-192.0,541,3602.614587
-172.0,698,3606.036846
-165.0,740,3608.440841
-185.0,701,3610.684356
-175.0,699,3614.109388
-182.0,676,3616.254566
-169.0,741,3619.850919
-176.0,687,3622.067915
-179.0,676,3624.287584
-177.0,687,3627.708559
-171.0,741,3630.112952
-181.0,699,3632.356471
-187.0,689,3635.761589
-205.0,846,3638.639916
-175.0,687,3640.824816
-176.0,687,3644.215013
-179.0,741,3646.622911
-181.0,699,3648.858983
-184.0,701,3652.559346
-199.0,746,3655.103718
-176.0,698,3657.327177
-129.0,1201,3663.174363
-176.0,687,3665.359459
-176.0,687,3668.764806
-158.0,845,3671.629142
-177.0,687,3673.825245
-187.0,677,3677.186269
-167.0,698,3679.417183
-149.0,1035,3684.41402
-163.0,846,3687.27053
-177.0,687,3689.447329
-174.0,699,3692.901007
-186.0,689,3695.117949
-170.0,698,3697.376999
-181.0,676,3700.735751
-173.0,698,3702.97514
-177.0,687,3705.172306
-179.0,676,3708.523657
-177.0,687,3710.709338
-181.0,688,3713.136883
-165.0,834,3717.255554
-176.0,698,3719.491982
-172.0,698,3721.727093
-175.0,699,3725.177575
-185.0,676,3727.319345
-224.0,541,3728.94352
-171.0,687,3732.38344
-184.0,677,3734.532661
-161.0,845,3737.392617
-181.0,676,3740.74024
-188.0,851,3743.665483
-177.0,687,3747.063377
-157.0,844,3749.917355
-178.0,700,3752.155735
-153.0,844,3756.214085
-202.0,943,3759.530181
-169.0,847,3763.616087
-182.0,676,3765.760474
-176.0,687,3767.946963
-176.0,687,3771.616837
-159.0,845,3774.607965
-170.0,741,3777.13028
-191.0,541,3780.012472
-174.0,699,3782.255006
-175.0,699,3784.502042
-173.0,847,3788.580042
-182.0,687,3809.015301
-172.0,698,3812.967134
-179.0,700,3816.415076
-145.0,1024,3820.11971
-180.0,687,3823.521388
-175.0,699,3825.748906
-171.0,859,3828.664485
-185.0,701,3832.547565
-172.0,687,3834.813042
-166.0,846,3837.681396
-181.0,688,3841.085457
-169.0,847,3843.949285
-172.0,698,3846.19703
-154.0,856,3850.306263
-184.0,701,3852.550386
-165.0,740,3856.157264
-170.0,698,3858.406022
-173.0,699,3860.66673
-182.0,688,3864.094032
-174.0,742,3866.508059
-176.0,742,3868.923149
-172.0,699,3872.362015
-142.0,1034,3876.11927
-169.0,741,3879.730628
-167.0,856,3882.638194
-181.0,688,3884.829453
-181.0,687,3888.233499
-180.0,743,3890.670445
-168.0,698,3893.132808
-167.0,698,3896.664213
-173.0,687,3898.854614
-165.0,740,3901.26143
-177.0,687,3904.660539
-167.0,698,3906.887007
-165.0,740,3909.292782
-182.0,688,3912.691402
-173.0,699,3914.929919
-173.0,699,3917.164101
-189.0,702,3920.621031
-177.0,687,3922.832991
-166.0,740,3925.252521
-185.0,744,3928.875203
-163.0,846,3931.734016
-180.0,700,3935.18861
-185.0,701,3937.434198
-180.0,700,3939.683489
-177.0,700,3943.159676
-197.0,542,3944.790351
-173.0,699,3947.030434
-177.0,687,3950.433775
-225.0,541,3952.291447
-170.0,698,3954.623612
-181.0,688,3958.046149
-182.0,676,3960.204483
-175.0,742,3962.633775
-171.0,698,3966.083497
-169.0,741,3968.490671
-177.0,687,3970.685918
-169.0,698,3974.133954
-167.0,698,3976.370191
-171.0,687,3978.545213
-186.0,688,3981.9689
-178.0,698,3984.216687
-181.0,688,3986.406646
-170.0,741,3990.019652
-136.0,1203,3994.634249
-170.0,741,3998.447995
-148.0,1602,4005.471946
-165.0,740,4009.127057
-170.0,698,4011.602701
-178.0,699,4014.152795
-214.0,742,4017.886461
-183.0,676,4020.265352
-174.0,699,4024.338029
-158.0,845,4030.437608
-176.0,699,4033.486601
-176.0,687,4056.592433
-165.0,740,4061.025775
-179.0,676,4063.392922
-181.0,676,4067.644235
-165.0,740,4070.418868
-175.0,742,4073.688843
-157.0,844,4078.276469
-165.0,740,4080.850649
-176.0,687,4084.126678
-178.0,687,4089.769988
-170.0,741,4093.03005
-165.0,698,4097.66954
-142.0,1204,4105.797308
-176.0,687,4108.163899
-172.0,699,4112.393681
-178.0,698,4114.966212
-171.0,698,4119.349585
-149.0,941,4125.946518
-170.0,698,4128.318682
-181.0,676,4133.964995
-169.0,1202,4140.051091
-189.0,541,4142.336115
-168.0,698,4147.589543
-176.0,687,4149.852013
-176.0,687,4152.446589
-166.0,846,4158.736367
-165.0,740,4161.939785
-173.0,741,4169.146248
-175.0,742,4171.885361
-165.0,740,4174.744023
-169.0,741,4181.279253
-170.0,847,4184.270768
-170.0,698,4186.925285
-175.0,687,4192.74264
-182.0,701,4195.894892
-173.0,698,4200.543536
-174.0,699,4206.394185
-185.0,701,4208.735178
-175.0,687,4211.247614
-179.0,700,4216.109706
-163.0,698,4218.480237
-132.0,1614,4229.960122
-170.0,698,4232.311691
-182.0,676,4237.532573
-156.0,844,4240.891671
-176.0,687,4244.44042
-157.0,844,4251.427542
-190.0,690,4253.700999
-175.0,742,4256.745768
-136.0,1203,4265.304565
-178.0,700,4268.278728
-181.0,688,4274.198013
-169.0,698,4276.604502
-156.0,844,4281.376612
-181.0,676,4286.823051
-170.0,741,4289.649971
-176.0,687,4293.65387
-155.0,856,4299.765943
-164.0,740,4302.34497
-175.0,699,4308.050618
-203.0,858,4311.348869
-178.0,687,4314.705926
-169.0,698,4321.007381
-180.0,743,4324.19012
-177.0,742,4329.033217
-176.0,699,4334.771184
-179.0,700,4337.157859
-160.0,857,4340.285667
-137.0,1203,4346.42868
-200.0,833,4350.266544
-172.0,699,4355.301841
-191.0,745,4358.579132
-168.0,740,4365.669581
-146.0,1204,4370.803656
-175.0,742,4374.328845
-167.0,740,4379.527532
-182.0,688,4400.82948
-167.0,698,4406.148035
-159.0,844,4409.092919
-166.0,698,4411.750863
-157.0,844,4418.596993
-167.0,845,4422.1107
-169.0,741,4426.922967
-172.0,741,4432.260241
-178.0,687,4435.139266
-178.0,687,4439.681584
-171.0,698,4444.528207
-165.0,740,4447.65238
-135.0,1417,4458.219891
-168.0,1202,4463.510468
-165.0,740,4467.468955
-177.0,687,4470.161804
-168.0,698,4476.902395
-170.0,741,4479.541783
-173.0,698,4481.96876
-101.0,1603,4492.899451
-177.0,687,4495.236141
-173.0,698,4499.848492
-177.0,687,4502.580469
-169.0,858,4508.444855
-181.0,676,4513.544373
-170.0,741,4516.21244
-156.0,844,4523.602997
-154.0,1036,4527.626242
-159.0,844,4531.791103
-156.0,942,4537.250723
-185.0,701,4539.642382
-175.0,699,4544.87464
-189.0,541,4546.681628
-147.0,1035,4553.11892
-191.0,690,4558.632942
-156.0,844,4561.607122
-177.0,687,4564.599042
-176.0,687,4570.102751
-176.0,687,4573.816988
-179.0,687,4578.407086
-155.0,1047,4585.571475
-129.0,1201,4595.437582
-172.0,698,4597.742548
-177.0,699,4600.404666
-165.0,740,4606.883927
-128.0,1200,4611.83409
-131.0,1200,4619.581331
-127.0,1200,4624.936499
-130.0,1201,4631.992321
-185.0,676,4634.291837
-169.0,698,4639.633693
-126.0,1200,4645.30876
-126.0,1200,4654.145557
-166.0,698,4656.449459
-228.0,530,4658.291845
-146.0,1034,4665.054411
-131.0,1201,4670.699518
-166.0,856,4675.476579
-156.0,844,4679.369113
-178.0,742,4685.220515
-178.0,698,4687.716013
-156.0,844,4691.237836
-163.0,845,4697.070127
-157.0,1036,4702.025588
-156.0,855,4708.674371
-181.0,676,4711.01069
-195.0,844,4716.175086
-151.0,1035,4722.200658
-185.0,744,4724.893708
-146.0,1034,4731.092186
-175.0,698,4733.509826
-126.0,1200,4741.73047
-170.0,741,4744.29876
-160.0,857,4751.116552
-158.0,844,4754.137093
-202.0,740,4757.567755
-167.0,740,4782.437144
-141.0,1034,4788.200619
-179.0,699,4791.745528
-164.0,740,4794.260169
-146.0,1034,4800.573614
-154.0,844,4806.392228
-189.0,745,4809.079865
-162.0,845,4816.097487
-195.0,844,4819.11623
-156.0,844,4822.962196
-166.0,698,4828.265031
-181.0,687,4831.052184
-165.0,740,4835.921592
-166.0,740,4840.688587
-175.0,687,4842.952407
-173.0,741,4847.826077
-156.0,844,4851.133549
-170.0,741,4855.32338
-168.0,740,4861.413194
-168.0,698,4863.717038
-134.0,1201,4872.063114
-167.0,698,4874.378354
-136.0,1201,4883.851359
-156.0,844,4886.806547
-156.0,844,4890.335723
-195.0,844,4896.448051
-171.0,847,4899.758047
-172.0,740,4906.554039
-156.0,844,4909.806537
-122.0,1413,4920.626006
-119.0,1413,4926.970956
-171.0,741,4931.258967
-161.0,845,4934.327248
-159.0,844,4941.028449
-152.0,1412,4947.027823
-134.0,1201,4952.948906
-155.0,856,4956.080715
-202.0,845,4962.501403
-127.0,1200,4967.242505
-131.0,1201,4973.266466
-175.0,699,4975.716952
-177.0,687,4979.617778
-138.0,1202,4987.758149
-177.0,687,4991.218857
-157.0,855,4997.463917
-175.0,698,4999.75377
-175.0,698,5002.249508
-148.0,1046,5007.879717
-127.0,1200,5017.511972
-128.0,1201,5022.510502
-171.0,740,5027.18501
-131.0,1403,5033.100244
-137.0,1202,5039.164959
-191.0,541,5040.888479
-176.0,698,5044.158977
-131.0,1415,5053.89652
-180.0,687,5056.606591
-186.0,677,5061.28982
-179.0,687,5064.349747
-131.0,1201,5074.346518
-186.0,677,5076.571047
-133.0,1201,5085.391484
-132.0,1200,5090.317127
-156.0,941,5096.646505
-127.0,1200,5101.561934
-151.0,1035,5107.730242
-163.0,845,5110.931899
-136.0,1346,5120.808439
-182.0,687,5123.0711
-177.0,741,5127.783427
-182.0,688,5130.200896
-144.0,1045,5135.871853
-157.0,941,5142.682463
-178.0,698,5145.014528
-177.0,699,5147.480497
-172.0,740,5151.393142
-124.0,1200,5188.973972
-177.0,698,5195.560903
-166.0,846,5198.512036
-167.0,740,5202.727445
-168.0,846,5205.866151
-181.0,688,5209.534744
-173.0,740,5215.869142
-165.0,1048,5220.900119
-168.0,740,5227.892341
-176.0,698,5230.379022
-191.0,678,5233.253746
-148.0,1200,5242.483572
-121.0,1200,5247.289493
-177.0,687,5250.857715
-183.0,699,5253.444535
-151.0,1035,5262.582144
-168.0,740,5265.063378
-117.0,1412,5274.737957
-134.0,1201,5279.46013
-166.0,740,5283.298227
-131.0,1200,5288.372344
-129.0,1200,5296.679976
-157.0,941,5300.336037
-175.0,698,5306.436033
-177.0,687,5309.038909
-183.0,688,5312.605831
-161.0,845,5319.841872
-88.0,1614,5327.819184
-182.0,676,5331.31357
-177.0,687,5333.79081
-136.0,1201,5343.54112
-182.0,687,5345.794484
-176.0,687,5348.342522
-184.0,1034,5355.979306
-182.0,688,5358.960562
-191.0,541,5362.329725
-185.0,676,5367.863539
-102.0,1599,5381.145569
-130.0,1200,5385.863218
-145.0,1201,5391.856996
-165.0,845,5394.807194
