#{"t_start": 1758364263.4824493, "env_id": "gymnasium_env/TowerDefenseWorld-v0"}
r,l,t
-179.0,687,922.052908
-194.0,541,923.679346
-230.0,530,925.266927
-186.0,688,928.686288
-193.0,541,930.308278
-230.0,530,931.895274
-188.0,677,934.042095
-207.0,740,937.635618
-132.0,1413,943.468709
-178.0,698,946.887932
-170.0,844,949.76914
-184.0,676,953.381308
-194.0,541,955.060588
-202.0,543,956.689129
-192.0,541,958.318411
-192.0,541,961.146284
-189.0,677,963.28113
-177.0,698,965.50948
-229.0,530,967.09004
-179.0,698,970.512865
-188.0,677,972.662483
-264.0,530,974.244838
-228.0,542,977.062739
-191.0,678,979.213245
-161.0,1412,986.28156
-229.0,542,987.908505
-180.0,687,990.093918
-176.0,740,993.703749
-226.0,541,995.325199
-184.0,676,997.46814
-155.0,1045,1002.498175
-201.0,531,1004.085069
-184.0,688,1006.269296
-179.0,698,1009.704228
-197.0,542,1011.41239
-184.0,688,1013.857472
-189.0,689,1017.257114
-230.0,530,1018.83912
-194.0,541,1020.457451
-191.0,1046,1025.47751
-180.0,699,1027.909638
-188.0,677,1030.052002
-167.0,845,1034.121553
-226.0,541,1035.73383
-146.0,1203,1041.562805
-181.0,687,1062.179368
-204.0,855,1066.793417
-178.0,687,1070.187374
-196.0,530,1071.920256
-194.0,541,1073.677601
-194.0,541,1075.375228
-182.0,859,1079.507333
-179.0,698,1081.748315
-122.0,1401,1088.716551
-134.0,1414,1095.738983
-185.0,676,1097.882376
-187.0,677,1100.03694
-191.0,541,1102.870925
-217.0,676,1105.015575
-161.0,855,1107.906004
-179.0,698,1111.334155
-201.0,531,1112.91808
-183.0,741,1115.320424
-119.0,1412,1122.364795
-191.0,541,1123.988813
-224.0,541,1125.608162
-100.0,1602,1134.27693
-191.0,678,1137.646935
-199.0,542,1139.275966
-198.0,542,1140.913954
-196.0,530,1142.503558
-190.0,541,1145.332957
-176.0,698,1147.562396
-179.0,687,1149.748201
-224.0,541,1152.578604
-163.0,844,1155.431627
-194.0,541,1157.056758
-197.0,530,1159.835322
-111.0,1604,1166.851223
-223.0,541,1169.685338
-178.0,698,1171.911343
-179.0,698,1174.138058
-149.0,1034,1179.078945
-202.0,845,1181.956218
-189.0,677,1185.304917
-217.0,676,1187.450679
-184.0,688,1189.646873
-183.0,687,1193.315012
-180.0,687,1195.599634
-187.0,677,1197.738133
-162.0,844,1201.806819
-217.0,676,1203.961553
-191.0,677,1206.121573
-195.0,855,1210.22265
-179.0,687,1212.408265
-194.0,541,1214.02228
-196.0,542,1216.839525
-120.0,1200,1221.444252
-184.0,676,1223.60535
-178.0,687,1226.978146
-137.0,1202,1231.601093
-173.0,1415,1238.643501
-186.0,699,1240.873665
-182.0,676,1244.216212
-203.0,845,1247.067475
-127.0,1344,1254.143088
-210.0,698,1256.37181
-190.0,688,1258.569671
-191.0,541,1261.399347
-175.0,698,1263.619425
-178.0,687,1265.80047
-162.0,855,1269.903468
-165.0,856,1272.809365
-182.0,676,1276.142625
-104.0,1615,1283.385838
-215.0,676,1286.742554
-105.0,1615,1293.810849
-129.0,1414,1300.841167
-126.0,1414,1307.878796
-218.0,676,1310.021121
-179.0,688,1313.772935
-231.0,530,1329.348292
-183.0,688,1332.884464
-194.0,541,1334.518236
-102.0,1614,1342.822344
-128.0,1414,1349.859757
-178.0,698,1352.105037
-188.0,676,1355.467785
-182.0,676,1357.636028
-178.0,687,1359.835163
-228.0,530,1361.414781
-175.0,698,1364.853997
-173.0,740,1367.259961
-182.0,688,1370.655608
-183.0,676,1373.047879
-177.0,699,1375.401514
-152.0,941,1379.972709
-180.0,699,1382.215252
-181.0,687,1384.405155
-143.0,1202,1390.252202
-180.0,676,1392.405071
-179.0,687,1395.801266
-186.0,676,1397.94726
-171.0,740,1400.349261
-179.0,687,1403.78362
-228.0,542,1405.418584
-180.0,676,1407.570942
-187.0,676,1410.932473
-152.0,855,1413.839989
-182.0,687,1416.036631
-190.0,541,1418.879801
-204.0,740,1421.279839
-100.0,1615,1429.578904
-190.0,541,1431.220533
-173.0,698,1433.456554
-224.0,541,1436.28648
-175.0,858,1439.210997
-168.0,740,1441.614959
-139.0,1201,1447.450692
-70.0,2106,1459.242315
-94.0,1613,1467.523622
-134.0,1614,1475.842432
-177.0,698,1478.07437
-105.0,1603,1486.32548
-177.0,687,1488.622503
-165.0,844,1491.615786
-123.0,1200,1497.65611
-185.0,676,1499.799931
-183.0,699,1503.244751
-169.0,740,1505.640125
-171.0,729,1508.014174
-155.0,1413,1515.039664
-224.0,541,1516.661558
-190.0,541,1519.482338
-192.0,541,1521.10149
-179.0,687,1523.314961
-100.0,1615,1531.619056
-177.0,729,1533.972202
-229.0,530,1536.779271
-144.0,1346,1542.217136
-128.0,1412,1549.267636
-173.0,740,1551.847079
-78.0,1837,1561.932312
-176.0,741,1565.538495
-62.0,2093,1577.218567
-157.0,1048,1581.054062
-181.0,676,1583.220729
-184.0,676,1586.574985
-183.0,676,1588.722487
-166.0,844,1591.579852
-118.0,1569,1599.550354
-169.0,740,1603.151758
-192.0,541,1604.77042
-190.0,677,1606.920424
-160.0,855,1611.042933
-103.0,1603,1618.384775
-177.0,687,1621.773126
-180.0,676,1641.826513
-179.0,676,1645.662302
-182.0,687,1649.060107
-179.0,698,1651.292788
-181.0,676,1653.432248
-177.0,698,1656.86005
-180.0,698,1659.093795
-178.0,687,1661.28322
-179.0,687,1664.658985
-181.0,699,1666.894622
-166.0,844,1670.99532
-226.0,541,1672.845937
-159.0,941,1676.324076
-196.0,530,1679.121322
-106.0,1616,1686.244654
-185.0,699,1689.697075
-176.0,698,1691.946343
-196.0,530,1693.531003
-106.0,1615,1701.875575
-190.0,941,1705.210737
-191.0,541,1708.033105
-225.0,541,1709.654727
-179.0,687,1711.839498
-183.0,676,1715.186106
-177.0,687,1717.375522
-181.0,698,1719.611879
-34.0,2349,1733.491766
-185.0,676,1736.848665
-193.0,541,1738.474222
-162.0,1412,1745.541788
-190.0,541,1747.161212
-149.0,1035,1752.132118
-141.0,1201,1756.760479
-218.0,665,1758.858364
-174.0,741,1762.467071
-163.0,740,1764.878743
-161.0,833,1768.889308
-187.0,677,1771.048549
-172.0,740,1773.472755
-180.0,698,1776.914494
-192.0,689,1779.104377
-177.0,698,1781.337519
-197.0,530,1784.120175
-136.0,1416,1789.957279
-164.0,844,1794.475449
-186.0,688,1796.670244
-165.0,855,1799.583717
-202.0,740,1803.199672
-91.0,2111,1815.182509
-133.0,1201,1819.811909
-177.0,687,1823.24314
-183.0,676,1825.38862
-199.0,542,1827.01162
-165.0,833,1831.018603
-180.0,676,1833.150661
-171.0,698,1835.379796
-82.0,1837,1845.188456
-217.0,676,1848.537515
-222.0,677,1850.690886
-169.0,856,1853.962581
-133.0,1200,1859.794574
-180.0,676,1861.937846
-186.0,676,1865.281291
-110.0,1616,1872.378637
-177.0,687,1875.760592
-102.0,1566,1883.769204
-185.0,676,1885.925881
-206.0,532,1887.521797
-181.0,698,1889.758435
-187.0,688,1893.155493
-178.0,698,1895.377937
-111.0,1557,1903.323104
-182.0,676,1905.462438
-184.0,677,1908.802827
